id;longitude;latitude;town;street;postal;house_number;country;additional
1;37454;79654;Fish multi-byte Savings Account;Bradtke Lock;Trace;33370;Morocco;alarm
2;2058;5641;transmitter Implementation Electronics;Morissette Well;Home Loan Account;706;Italy;intangible
3;61185;39986;Gorgeous Frozen Pants;Borer Ford;Savings Account syndicate Planner;46676;Aruba;Credit Card Account Table Small Frozen Sausages
4;96563;56328;envisioneer Music Public-key;Parker Forest;Investment Account;83319;Antigua and Barbuda;Regional
5;25877;18223;copy convergence;Kenyatta Falls;Industrial;84228;San Marino;Markets Chief
6;59789;72727;archive Georgia Aruba;Sporer Vista;compress South Georgia and the South Sandwich Islands;58675;Guernsey;mission-critical Faroe Islands Plastic
7;80219;16526;Industrial;Godfrey Landing;24 hour;1407;Slovenia;monitor
8;72900;79017;Checking Account Identity deposit;Rossie Unions;Highway Ergonomic;37081;Gabon;moratorium pixel withdrawal
9;88721;56124;embrace Developer;Mireille Summit;Robust Networked;4043;Macedonia;partnerships Grocery Intelligent
10;3142;89576;Harbor Montana;Broderick Ridge;Investment Account;53984;Saint Lucia;User-centric
