id;begin;end;day;last_scheduled_student_id;teacher_id
1;555;645;MO;2;1
2;660;750;MO;;1
3;780;870;MO;;1
4;885;975;MO;;1
5;990;1080;MO;;1
6;1200;1290;MO;1;1
7;555;645;TU;;1
8;660;750;TU;;1
9;780;870;TU;1;1
10;885;975;TU;2;1
11;990;1080;TU;;1
12;1200;1290;TU;;1
13;555;645;WE;2;1
14;660;750;WE;;1
15;780;870;WE;1;1
16;885;975;WE;;1
17;990;1080;WE;;1
18;1200;1290;WE;;1
19;555;645;TH;;1
20;660;750;TH;;1
21;780;870;TH;;1
22;885;975;TH;1;1
23;990;1080;TH;2;1
24;1200;1290;TH;;1
25;555;645;FR;1;1
26;660;750;FR;;1
27;780;870;FR;;1
28;885;975;FR;;1
29;990;1080;FR;;1
30;1200;1290;FR;2;1
